PathogenName,DrugClass,Bactericidal/Static,Antibiotic,ResistanceScore,Citation,Numberresistant,Percentresistant,TotalSampleSize,ResistanceCalcFromPercent,minResistant,maxResistant,Resistant,NotResistant,Method(CLSIEUCASTPK/PDKitOtherobjectivemetric),NOTES,Pathogentype,Reservoir,TransmissionMode,TransmissionType,PrimarySource,Humantransmission,Aerobicity,Commensal,NaturallyCompetent,ResearchEffortPath,Zoonosis,DomesticAnimalReservoir,Nosocomial,EnvrionmentalReservoir,Order,AntibioticDate,ResearchEffortAntibiotic,DrugUseTotal,Conjugation
Acinetobacterspp,Carbapenems,Bactericidal,Doripenem,2,Zhouetal2018,,32.7,150,49,49,49,49,101,CLSI,UsingCLSImicrodilution,GramPositive,Environment,Vehicleborne,1,Nosocomial,1,Aerobe,1,1,2044,0,0,1,1,Pseudomonadales,1996,704,96215597.78,1
Acinetobacterspp,Carbapenems,Bactericidal,Imipenem,2,Nusratetal2020,23,,41,,23,23,23,18,KirbyBauerdiskdiffusion,,GramPositive,Environment,Vehicleborne,1,Nosocomial,1,Aerobe,1,1,2044,0,0,1,1,Pseudomonadales,1980,11457,96215597.78,1
Acinetobacterspp,Carbapenems,Bactericidal,Imipenem,2,Amirietal2019,33,,38,,33,33,33,5,CLSI,CLSIbydiskdiffusion,GramPositive,Environment,Vehicleborne,1,Nosocomial,1,Aerobe,1,1,2044,0,0,1,1,Pseudomonadales,1980,11457,96215597.78,1
Acinetobacterspp,Carbapenems,Bactericidal,Imipenem,2,Dungetal2019,1495,,2138,,1495,1495,1495,643,CLSI,,GramPositive,Environment,Vehicleborne,1,Nosocomial,1,Aerobe,1,1,2044,0,0,1,1,Pseudomonadales,1980,11457,96215597.78,1
Acinetobacterspp,Carbapenems,Bactericidal,Meropenem,2,Liuetal2019,,92.1%of203and3.1%of32,235,188,188,188,188,47,CLSIuntil2016andEUCASTfor2017,UsingCLSImicrodilution#ElviraGarza-Gonzálezetal2020unavailablewithoutILL,GramPositive,Environment,Vehicleborne,1,Nosocomial,1,Aerobe,1,1,2044,0,0,1,1,Pseudomonadales,1989,7567,96215597.78,1
Acinetobacterspp,Carbapenems,Bactericidal,Meropenem,2,Zhouetal2018,,70,150,105,105,105,105,45,CLSI,microdilution,GramPositive,Environment,Vehicleborne,1,Nosocomial,1,Aerobe,1,1,2044,0,0,1,1,Pseudomonadales,1989,7567,96215597.78,1
Acinetobacterspp,Carbapenems,Bactericidal,Meropenem,2,Saeedetal2018,236,,483,,236,236,236,247,CLSI,Kirbybauerdisk,GramPositive,Environment,Vehicleborne,1,Nosocomial,1,Aerobe,1,1,2044,0,0,1,1,Pseudomonadales,1989,7567,96215597.78,1
Actinomycesspp,Penicillins,Bactericidal,Penicillin,0,SteiningerandWillinger2016(notesearchusingPenicillinGyielded0results),0,,89,,0,0,0,89,CLSI,,Other,Humans,Directcontact,0,Endoge0us,1,Anaerobe,1,0,276,0,0,0,0,Acti0mycetales,1932,109417,10196195659,0
Actinomycesspp,Penicillins,Bactericidal,Unasyn(ampicillin/sulbactam),0,SteiningerandWillinger2016,0,,360,,0,0,0,360,CLSI,,Other,Humans,Directcontact,0,Endoge0us,1,Anaerobe,1,0,276,0,0,0,0,Acti0mycetales,1983,1756,10196195659,0
Bacillusanthracis,Penicillins,Bactericidal,Ampicillin,0,Kutmanova et al 2020,89,,138,,89,89,89,49,,*Thepaperdidnotcomeupinthepenicillinsearchbutfoundwithciprofloxacinsearch.A.Kutmanovaetal.useddisksiffusionanddidnotmentionanydetails,GramPositive,Animal,Directcontact,0,Zoonosis,0,Aerobe,0,0,6205,1,1,0,0,Bacillales,1953,30086,10196195659,1
Bacteroidesspp,Penicillins,Bactericidal,Penicillin,2,Coboetal2020,,98.3,62,61,61,61,61,1,EUCAST,microdilutionbenzylpenicillin/,Anaerobic,Humans,Indirect,1,Endoge0us,0,Anaerobe,1,0,17548,0,0,1,0,Bacteroidales,1932,109417,10196195659,1
Bacteroidesspp,Penicillins,Bactericidal,Penicillin,2,Marakietal2020,,100,157,157,157,157,157,0,CLSI,"MIC,penicillin",Anaerobic,Humans,Indirect,1,Endoge0us,0,Anaerobe,1,0,17548,0,0,1,0,Bacteroidales,1932,109417,10196195659,1
Bacteroidesspp,Penicillins,Bactericidal,Penicillin,2,Coboetal2019,,94,82,77,77,77,77,5,CLSI,"MIC,benzylpenicillin",Anaerobic,Humans,Indirect,1,Endoge0us,0,Anaerobe,1,0,17548,0,0,1,0,Bacteroidales,1932,109417,10196195659,1
Bacteroidesspp,Penicillins,Bactericidal,Amoxicillin,2,Velooetal2019,96,,101,,96,96,96,5,EUCAST,"ILL:Kierzkowska,Marta(05/2020).""TrendsandImpactinAntimicrobialResistanceAmongBacteroidesandParabacteroidesSpeciesin2007–2012Comparedto2013–2017"".MicrobialDrugResistance(1076-6294)",Anaerobic,Humans,Indirect,1,Endoge0us,0,Anaerobe,1,0,17548,0,0,1,0,Bacteroidales,1972,20742,10196195659,1
Bacteroidesspp,Penicillins,Bactericidal,Ampicillin,2,Marakietal2020,,100,157,157,157,157,157,0,,,Anaerobic,Humans,Indirect,1,Endoge0us,0,Anaerobe,1,0,17548,0,0,1,0,Bacteroidales,1953,30086,10196195659,1
Bacteroidesspp,Penicillins,Bactericidal,Ampicillin,2,Shimuraetal2019,77,,79,,77,77,77,2,CLSI,"ManuallycalculatedfromthebreakpointsandMICdata,Table4andTable1",Anaerobic,Humans,Indirect,1,Endoge0us,0,Anaerobe,1,0,17548,0,0,1,0,Bacteroidales,1953,30086,10196195659,1
Bacteroidesspp,Penicillins,Bactericidal,Ampicillin,2,Fujitaetal2019,20,,20,,20,20,20,0,CLSI,FujitadidnotprovidebreakpointforAmpicillinalone.CheckedwithShimuraetalandused>2ug/mlasCLSIbreakpointtocalculate'R'fromMICdata.FujitaonlyfoundBfragilis,Anaerobic,Humans,Indirect,1,Endoge0us,0,Anaerobe,1,0,17548,0,0,1,0,Bacteroidales,1953,30086,10196195659,1
